City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,biscarrosse,44.3945,-1.1672,12.69,80,100,6.45,FR,1714202840
114,fortuna,40.5982,-124.1573,8.49,96,69,1.69,US,1714202840
115,khorugh,37.4897,71.553,6.41,71,100,1.78,TJ,1714202841
116,weno,7.4515,151.8468,28.78,78,100,8.87,FM,1714202842
117,mount isa,-20.7333,139.5,29.13,28,3,4.71,AU,1714202842
118,isafjordur,66.0755,-23.124,-1.05,76,19,3.13,IS,1714202843
119,olonkinbyen,70.9221,-8.7187,-0.7,90,20,1.85,SJ,1714202843
120,patti,31.2808,74.8572,34.52,21,69,2.92,IN,1714202844
121,kourou,5.1552,-52.6478,24.91,89,81,2.67,GF,1714202844
122,verkhniye kigi,55.4083,58.6044,17.7,65,100,4.89,RU,1714202845
123,madimba,-10.4,40.3333,25.87,68,99,6.37,TZ,1714202845
124,utrik,11.2278,169.8474,27.45,74,18,7.04,MH,1714202846
125,island harbour,50.724,-1.2758,7.42,94,100,7.92,GB,1714202846
126,ilulissat,69.2167,-51.1,0.33,93,100,1.03,GL,1714202847
127,vernon,50.2581,-119.2691,6.32,95,87,0.09,CA,1714202831
128,xilin hot,43.9667,116.0333,9.53,22,100,4.3,CN,1714202848
129,medina,24.4686,39.6142,30.97,22,42,0.6,SA,1714202849
130,lihue,21.9789,-159.3672,22.32,83,100,6.04,US,1714202850
131,fale old settlement,-9.3852,-171.2468,29.77,71,18,6.05,TK,1714202851
132,karratha,-20.7377,116.8463,32.09,37,0,7.32,AU,1714202852
133,tolanaro,-25.0319,46.9987,26.56,69,0,2.63,MG,1714202852
134,el reno,35.5323,-97.955,19.09,94,0,8.96,US,1714202853
135,mount gambier,-37.8333,140.7667,13.89,57,99,1.52,AU,1714202853
136,necochea,-38.5473,-58.7368,9.84,48,2,5.51,AR,1714202854
137,pierre,44.3683,-100.351,8.75,90,100,6.88,US,1714202854
138,margate,51.3813,1.3862,9.36,91,86,3.17,GB,1714202855
139,mount pearl,47.5166,-52.7813,-0.52,83,100,0.91,CA,1714202856
140,mamfe,5.754,9.3123,26.53,84,100,0.84,CM,1714202856
141,siwa oasis,29.2041,25.5195,21.15,34,0,3.22,EG,1714202857
142,port elizabeth,-33.918,25.5701,19.01,70,0,6.83,ZA,1714202857
143,beaufort west,-32.3567,22.583,16.06,65,4,4.67,ZA,1714202858
144,atakpame,7.5333,1.1333,26.31,74,45,2.02,TG,1714202858
145,parral,26.9333,-105.6667,11.32,19,0,2.4,MX,1714202859
146,rabo de peixe,37.8,-25.5833,13.6,63,79,6.34,PT,1714202859
147,kayangel,8.0823,134.7173,28.74,82,87,7.86,PW,1714202860
148,portland,45.5234,-122.6762,9.57,95,100,2.05,US,1714202767
149,tazacorte,28.629,-17.9293,18.34,67,49,4.7,ES,1714202861
150,northwood,40.4728,-83.7324,14.53,91,100,7.65,US,1714202861
151,ad dilam,23.9915,47.1627,33.19,14,89,5.58,SA,1714202862
152,uturoa,-16.7333,-151.4333,28.72,74,21,9.39,PF,1714202863
153,itamaraca,-7.7478,-34.8256,25.97,86,71,4.19,BR,1714202864
154,dakhla,23.6848,-15.958,17.18,88,48,7.35,EH,1714202864
155,nha trang,12.25,109.1833,33.39,59,99,5.54,VN,1714202865
156,port lincoln,-34.7333,135.8667,16.68,58,100,2.31,AU,1714202865
157,baneasa,44.0461,26.0642,15.34,67,100,3.8,RO,1714202866
158,alofi,-19.0595,-169.9187,27.46,76,11,7.62,NU,1714202866
159,georgetown,5.4112,100.3354,31.15,67,100,2.6,MY,1714202867
160,esperanza,19.5847,-70.9849,21.28,98,100,1.42,DO,1714202867
161,darwin,-12.4611,130.8418,32.0,48,11,1.92,AU,1714202673
162,bengkulu,-3.8004,102.2655,29.69,71,27,3.82,ID,1714202868
163,hamilton,39.1834,-84.5333,15.2,96,100,4.7,US,1714202869
164,xiaoshi,41.2971,124.1209,22.56,40,37,3.44,CN,1714202869
165,punta del este,-34.9667,-54.95,17.84,84,100,8.72,UY,1714202870
166,amga,60.8953,131.9608,-1.19,54,100,4.8,RU,1714202871
167,chu,43.5983,73.7614,6.16,69,100,5.48,KZ,1714202871
168,dadukou,26.5479,101.7054,34.84,14,6,2.26,CN,1714202872
169,iskateley,67.6803,53.1512,0.14,100,100,5.21,RU,1714202872
170,tiksi,71.6872,128.8694,-11.86,77,30,3.51,RU,1714202873
171,kavaratti,10.5669,72.642,29.87,71,52,4.22,IN,1714202873
172,yuzhno-kurilsk,44.0306,145.8556,9.0,81,100,3.43,RU,1714202874
173,pandan,14.0453,124.1694,30.3,73,14,2.5,PH,1714202874
174,ta`u,-14.2336,-169.5144,29.1,77,28,7.57,AS,1714202875
175,sitka,57.0531,-135.33,8.86,82,7,1.26,US,1714202876
176,punta arenas,-53.15,-70.9167,3.43,94,100,7.2,CL,1714202876
177,cuenca,-2.8833,-78.9833,12.61,94,73,0.24,EC,1714202657
178,arraial do cabo,-22.9661,-42.0278,23.66,80,1,8.9,BR,1714202877
179,lucon,46.4577,-1.1651,9.69,96,100,4.95,FR,1714202878
180,lycksele,64.5954,18.6735,0.68,100,100,2.16,SE,1714202878
181,mana,5.6592,-53.7767,25.73,82,74,3.95,GF,1714202879
182,puerto lempira,15.2667,-83.7667,25.31,87,1,2.66,HN,1714202879
183,sola,-13.8833,167.55,28.84,77,100,6.3,VU,1714202880
184,bandon,51.7469,-8.7425,2.97,87,12,5.11,IE,1714202880
185,anloga,5.7947,0.8973,28.85,81,58,4.48,GH,1714202881
186,verkhnevilyuysk,63.4453,120.3167,-0.79,73,100,2.86,RU,1714202881
187,sisimiut,66.9395,-53.6735,0.37,93,100,0.94,GL,1714202882
188,paita,-5.0892,-81.1144,22.77,77,90,4.86,PE,1714202883
189,magadan,59.5667,150.8,0.6,94,100,7.11,RU,1714202883
190,kapit,2.0167,112.9333,36.71,41,100,1.43,MY,1714202884
191,lubang,13.8584,120.124,29.34,72,46,1.79,PH,1714202884
192,vilyuysk,63.7553,121.6247,-1.14,72,100,2.58,RU,1714202885
193,lesko,49.4701,22.3304,12.98,53,87,4.52,PL,1714202886
194,sao jose dos pinhais,-25.5347,-49.2064,17.58,93,0,1.5,BR,1714202886
195,mizusawa,39.1333,141.1333,21.3,72,100,4.61,JP,1714202887
196,castillos,-34.1667,-53.8333,17.64,96,100,5.08,UY,1714202887
197,nuku'alofa,-21.1333,-175.2,27.2,83,100,2.08,TO,1714202888
198,tidjikja,18.5564,-11.4271,26.23,35,1,6.28,MR,1714202889
199,kitimat,54.0524,-128.6534,9.14,80,55,1.2,CA,1714202890
200,whitehorse,60.7161,-135.0538,2.07,93,27,1.99,CA,1714202769
201,sandnessjoen,66.0217,12.6316,4.81,60,100,2.26,NO,1714202891
202,chegdomyn,51.1167,133.0167,6.77,26,100,5.42,RU,1714202892
203,ixtapa,20.7,-105.2,21.22,48,100,1.17,MX,1714202892
204,saint-pierre,-21.3393,55.4781,27.31,75,55,1.54,RE,1714202893
205,vernal,40.4555,-109.5287,7.59,65,100,2.49,US,1714202893
206,ilha de mocambique,-15.0342,40.7358,27.32,64,96,7.87,MZ,1714202894
207,villa gesell,-37.2639,-56.973,12.39,82,69,6.08,AR,1714202894
208,fort st. john,56.2499,-120.8529,1.01,67,7,1.55,CA,1714202621
209,holualoa,19.6228,-155.9522,22.11,78,54,3.06,US,1714202895
210,grantsville,40.5999,-112.4644,7.07,95,100,7.43,US,1714202896
211,kristiansund,63.1115,7.732,5.37,70,96,2.71,NO,1714202896
212,nyurba,63.2842,118.3319,-0.66,83,100,3.73,RU,1714202897
213,timimoun,29.2639,0.231,24.62,13,0,3.19,DZ,1714202898
214,keflavik,64.0049,-22.5624,2.69,73,7,7.45,IS,1714202899
215,sabang,5.8933,95.3214,30.46,69,99,2.86,ID,1714202899
216,trinidad,-14.8333,-64.9,23.83,91,98,1.65,BO,1714202900
217,tindouf,27.6711,-8.1474,13.58,68,2,9.5,DZ,1714202901
218,puerto baquerizo moreno,-0.9,-89.6,24.85,89,100,4.33,EC,1714202901
219,keetmanshoop,-26.5833,18.1333,25.43,17,99,3.52,NA,1714202902
220,nouadhibou,20.931,-17.0347,18.55,81,100,9.77,MR,1714202902
221,turpan,42.9333,89.1667,22.08,16,1,2.09,CN,1714202903
222,mount hagen,-5.8581,144.2274,19.49,95,96,0.12,PG,1714202904
223,kapa'a,22.0752,-159.319,22.93,81,98,6.85,US,1714202904
224,wailua homesteads,22.0669,-159.378,21.93,83,97,5.89,US,1714202905
225,tynda,55.1667,124.7167,0.02,58,100,4.23,RU,1714202905
226,kudahuvadhoo,2.6708,72.8944,29.87,71,100,3.35,MV,1714202906
227,chonchi,-42.6128,-73.8092,2.86,92,56,1.35,CL,1714202906
228,vila franca do campo,37.7167,-25.4333,13.66,65,68,5.98,PT,1714202907
229,kuybyshev,55.4475,78.3218,12.56,29,74,2.82,RU,1714202908
230,newman,37.3138,-121.0208,9.47,79,0,2.64,US,1714202668
231,pangoa,-12.1167,-73.0,20.79,99,81,0.88,PE,1714202909
232,sorong,-0.8833,131.25,29.2,75,87,0.85,ID,1714202910
233,jamestown,42.097,-79.2353,8.78,71,100,6.07,US,1714202910
234,nchelenge,-9.3451,28.734,21.47,61,41,3.49,ZM,1714202911
